Current learning rate: 0.1
Epoch: [0][  0/383]	Loss 0.3133 (0.3133)	Accuracy 13.281 (13.281)
Epoch: [0][ 10/383]	Loss 0.2895 (0.2997)	Accuracy 24.219 (19.318)
Epoch: [0][ 20/383]	Loss 0.2906 (0.3006)	Accuracy 32.031 (23.772)
Epoch: [0][ 30/383]	Loss 0.2750 (0.3037)	Accuracy 28.125 (24.294)
Epoch: [0][ 40/383]	Loss 0.2800 (0.3025)	Accuracy 32.031 (25.057)
Epoch: [0][ 50/383]	Loss 0.3484 (0.3050)	Accuracy 25.000 (25.429)
Epoch: [0][ 60/383]	Loss 0.3308 (0.3105)	Accuracy 19.531 (25.282)
Epoch: [0][ 70/383]	Loss 0.3460 (0.3137)	Accuracy 26.562 (25.165)
Epoch: [0][ 80/383]	Loss 0.2965 (0.3140)	Accuracy 31.250 (25.367)
Epoch: [0][ 90/383]	Loss 0.3272 (0.3122)	Accuracy 22.656 (25.601)
Epoch: [0][100/383]	Loss 0.3175 (0.3114)	Accuracy 21.094 (25.511)
Epoch: [0][110/383]	Loss 0.2840 (0.3085)	Accuracy 28.125 (25.802)
Epoch: [0][120/383]	Loss 0.2833 (0.3063)	Accuracy 28.125 (26.027)
Epoch: [0][130/383]	Loss 0.2837 (0.3046)	Accuracy 23.438 (26.157)
Epoch: [0][140/383]	Loss 0.2783 (0.3025)	Accuracy 27.344 (26.213)
Epoch: [0][150/383]	Loss 0.2628 (0.3009)	Accuracy 29.688 (26.330)
Epoch: [0][160/383]	Loss 0.2688 (0.2993)	Accuracy 34.375 (26.596)
Epoch: [0][170/383]	Loss 0.2549 (0.2974)	Accuracy 33.594 (26.681)
Epoch: [0][180/383]	Loss 0.2694 (0.2961)	Accuracy 30.469 (26.761)
Epoch: [0][190/383]	Loss 0.2780 (0.2950)	Accuracy 25.000 (26.775)
Epoch: [0][200/383]	Loss 0.2960 (0.2939)	Accuracy 29.688 (26.963)
Epoch: [0][210/383]	Loss 0.2742 (0.2933)	Accuracy 33.594 (27.092)
Epoch: [0][220/383]	Loss 0.3014 (0.2930)	Accuracy 34.375 (27.241)
Epoch: [0][230/383]	Loss 0.2825 (0.2925)	Accuracy 33.594 (27.361)
Epoch: [0][240/383]	Loss 0.2908 (0.2921)	Accuracy 29.688 (27.418)
Epoch: [0][250/383]	Loss 0.2571 (0.2913)	Accuracy 35.156 (27.465)
Epoch: [0][260/383]	Loss 0.2357 (0.2902)	Accuracy 38.281 (27.562)
Epoch: [0][270/383]	Loss 0.2646 (0.2892)	Accuracy 28.125 (27.618)
Epoch: [0][280/383]	Loss 0.2673 (0.2881)	Accuracy 35.938 (27.808)
Epoch: [0][290/383]	Loss 0.2647 (0.2875)	Accuracy 30.469 (27.870)
Epoch: [0][300/383]	Loss 0.2455 (0.2864)	Accuracy 33.594 (28.024)
Epoch: [0][310/383]	Loss 0.2625 (0.2854)	Accuracy 32.812 (28.145)
Epoch: [0][320/383]	Loss 0.2444 (0.2843)	Accuracy 35.938 (28.298)
Epoch: [0][330/383]	Loss 0.2614 (0.2834)	Accuracy 35.156 (28.453)
Epoch: [0][340/383]	Loss 0.2368 (0.2827)	Accuracy 36.719 (28.492)
Epoch: [0][350/383]	Loss 0.2513 (0.2819)	Accuracy 31.250 (28.590)
Epoch: [0][360/383]	Loss 0.2559 (0.2807)	Accuracy 28.906 (28.772)
Epoch: [0][370/383]	Loss 0.2780 (0.2798)	Accuracy 25.000 (28.915)
Epoch: [0][380/383]	Loss 0.2662 (0.2790)	Accuracy 30.469 (29.035)
Test: [  0/164]	Loss 1.4641 (1.4641)	Accuracy 36.719 (36.719)
Test: [ 10/164]	Loss 1.9184 (1.6152)	Accuracy 17.969 (27.344)
Test: [ 20/164]	Loss 1.8799 (1.6885)	Accuracy 12.500 (24.591)
Test: [ 30/164]	Loss 1.7241 (1.6457)	Accuracy 39.844 (29.990)
Test: [ 40/164]	Loss 1.1590 (1.5201)	Accuracy 67.969 (37.500)
Test: [ 50/164]	Loss 2.0766 (1.5341)	Accuracy 10.156 (37.408)
Test: [ 60/164]	Loss 2.3937 (1.6879)	Accuracy  2.344 (32.941)
Test: [ 70/164]	Loss 2.3588 (1.7937)	Accuracy  6.250 (29.016)
Test: [ 80/164]	Loss 3.6874 (1.8309)	Accuracy  0.000 (27.537)
Test: [ 90/164]	Loss 2.3702 (1.9417)	Accuracy 10.938 (24.863)
Test: [100/164]	Loss 0.3462 (1.8812)	Accuracy 92.188 (28.032)
Test: [110/164]	Loss 0.8737 (1.7802)	Accuracy 79.688 (32.855)
Test: [120/164]	Loss 2.2695 (1.7458)	Accuracy 12.500 (34.904)
Test: [130/164]	Loss 3.0941 (1.8678)	Accuracy  0.781 (32.693)
